Airprox No,Date,Year,Aircraft,Object,Latitude,Longitude,Alt,Location,Risk,,,,,,
2010004,12/02/2010,2010,Apache,Drone,5113N,00200W,300,SPTA DA,C,,,,,,
2010005,12/02/2010,2010,Sea King,Drone,5114N,00201W,300,SPTA DA,C,,,,,,
2010012,21/02/2010,2010,A319,Unknown,5133N,00241W,7000,Filton/Bristol CTA,D,,,,,,
2010050,09/05/2010,2010,R44,Model Aircraft,5212N,00015E,850,Cambridge,D,,,,,,
2010142,21/09/2010,2010,MD902,Drone,5106N,00038E,1200,Headcorn,B,,,,,,
2010173,25/11/2010,2010,Tornado,Drone,5231N,00043E,500,STANTA/ Buckenham Tofts,D,,,,,,
2012002,08/01/2012,2012,Cessna 150,Model Aircraft,5143N,00009E,50,North Weald,E,,,,,,
2012118,09/08/2012,2012,B737,Balloon,5122N,00042E,11000,Detling,D,,,,,,
2012134,03/09/2012,2012,DA42,Model Aircraft,5221N,00123W,1300,Coventry,C,,,,,,
2012175,30/12/2012,2012,B777,Unknown,5110N,00003W,1500,Gatwick,D,,,,,,
2014009,04/02/2014,2014,Tutor,Model Aircraft,5239N,00016W,600,Peterborough,B,,,,,,
2014021,27/02/2014,2014,Merlin,Drone,5229N,00046E,100,EG D208,D,,,,,,
2014073,30/05/2014,2014,ATR72-500,Drone,5132N,00036W,1500,Southend Airport,D,,,,,,
2014117,22/07/2014,2014,A320,Drone,5129N,00032W,700,London Heathrow,A,,,,,,
2014118,24/07/2014,2014,Merlin,Unknown,5006N,00523W,550,Praa Sands,D,,,,,,
2014187,16/09/2014,2014,Gyroplane,Model Aircraft,5121N,00029W,1000,Rochester,B,,,,,,
2014194,30/09/2014,2014,AW 139,Drone,5240N,00122E,1000,Norwich,B,,,,,,
2014198,02/10/2014,2014,Paraglider,Drone,5321N,00150W,150,Rushup Edge,A,,,,,,
2014233,15/12/2014,2014,E135,Drone,5350N,00138W,1700,Leeds Bradford Airport,C,,,,,,
2015005,21/01/2015,2015,SAAB 2000,Balloon,6011N,00114W,7000,Lerwick,E,,,,,,
2015017,21/02/2015,2015,PA28,Model Aircraft,5123N,00110W,2100,IVO Brimpton,D,,,,,,
2015024,15/03/2015,2015,A320,Drone,5129N,00037W,1800,London Heathrow,D,,,,,,
2015046,11/04/2015,2015,EC30,Drone,5118N,00007W,1600,Kenley,C,,,,,,
2015049,19/04/2015,2015,DHC8-400,Drone,5130N,00003W,2000,London City Airport,B,,,,,,
2015051,24/04/2015,2015,Apache,Model Aircraft,5208N,00108E,700,Wattisham,B,,,,,,
2015052,20/04/2015,2015,B752,Drone,5324N,00211W,2500,Manchester Airport,B,,,,,,
2015054,25/04/2015,2015,Lynx,Drone,5131N,00231W,2200,Bristol Airport,A,,,,,,
2015060,03/05/2015,2015,RJ85,Balloon,5146N,00038E,10000,Southend,D,,,,,,
2015073,28/05/2015,2015,A320,Unknown,5138N,00019E,13500,Lambourne,D,,,,,,
2015082,08/05/2015,2015,B757-236,Drone,5313N,00210W,4900,Macclesfield,B,,,,,,
2015084,30/05/2015,2015,Vans RV6A,Drone,5210N,00114W,2000,"Byfield, Northampton",B,,,,,,
2015086,17/06/2015,2015,Cavalon Gyroplane,Drone,5117N,00034E,1500,Detling,A,,,,,,
2015096,11/06/2015,2015,EV97 Eurostar,Drone,5237N,00309W,1430,Welshpool,B,,,,,,
2015106,09/07/2015,2015,RJ1H,Drone,5118N,00036E,4000,Detling,A,,,,,,
2015109,09/07/2015,2015,B737-800,Drone,5349N,00135W,1800,Leeds Bradford Airport,B,,,,,,
2015117,26/07/2015,2015,Be20,Drone,5100N,00119W,1100,Southampton Airport,A,,,,,,
2015118,26/07/2015,2015,DH8D,Drone,5059N,00120W,650,Southampton Airport,C,,,,,,
2015129,11/08/2015,2015,Chinook,Drone,5114N,00105W,1000,Odiham,A,,,,,,
2015139,17/08/2015,2015,A319,Unknown,5110N,00042W,110,London Heathrow,D,,,,,,
2015141,27/08/2015,2015,Dornier D328-100,Drone,5326N,00205W,2800,Stockport,A,,,,,,
2015143,19/08/2015,2015,A321-231 ,Unknown,5226N,00143W,1500,Birmingham Airport,B,,,,,,
2015155,13/09/2015,2015,B738,Drone,5154N,00024E,4000,London Stansted,A,,,,,,
2015157,13/09/2015,2015,Embraer E170,Drone,5129N,00006W,2000,London City Airport,A,,,,,,
2015162,22/09/2015,2015,B777,Drone,5129N,00034W,2000,London Heathrow,A,,,,,,
2015163,25/09/2015,2015,A319,Drone,5139N,00013W,80,London Heathrow,B,,,,,,
2015168,23/09/2015,2015,E190,Drone,5130N,00011 E,2600,London City,B,,,,,,
2015172,30/09/2015,2015,A319,Drone,5128N,00031W,500,London Heathrow,A,,,,,,
2015176,02/10/2015,2015,Dornier 328-100,Drone,5323N,00210W,3000,Manchester Airport,A,,,,,,
2015177,04/10/2015,2015,PA28RT-201,Drone,5240N,00206W,50,London City Airport,A,,,,,,
2015183,04/10/2015,2015,B777,Drone,5228N,00025W,300,London Heathrow,D,,,,,,
2015190,17/06/2015,2015,C560X,Drone,5133N,00010E,3000,London City,B,,,,,,
2015191,18/06/2015,2015,G2CA,Model Aircraft,5143N,00016W,2150,London Colney,E,,,,,,
2015195,13/10/2015,2015,A380,Drone,5216N,00022W,2000,London Heathrow,B,,,,,,
2015198,12/08/2015,2015,A321,Unknown,5128N,00043W,3000,London Heathrow,D,,,,,,
2015202,08/11/2015,2015,B777,Unknown,5119N,00023W,6000,London Heathrow,A,,,,,,
2015207,28/11/2015,2015,A319,Drone,5128N,00017W,1900,London Heathrow,C,,,,,,
2015211,06/12/2015,2015,E170,Drone,5130N,00006E,1000,London City Airport,B,,,,,,
2015212,28/11/2015,2015,A321,Drone,5109N,00010W,100,London Gatwick,A,,,,,,
2015213,07/12/2015,2015,A320,Balloon,5101N,00013 E,16000,London Heathrow,B,,,,,,
2016005,21/01/2016,2016,GR4,Drone,5600N,00233W,1500,Dunbar,C,,,,,,
2016011,23/01/2016,2016,B737,Unknown,5600N,00233W,7500,East Midlands,A,,,,,,
2016015,14/02/2016,2016,A320,Drone,5119N,00002E,12500,London Heathrow,A,,,,,,
2016016,12/02/2016,2016,Tutor,Model Aircraft,5139N,00104W,1500,Benson,C,,,,,,
2016019,16/02/2016,2016,Emb135,Drone,5506N,00127W,2500,Newcastle,C,,,,,,
2016020,23/02/2016,2016,A319,Drone,5141N,00024W,6000,London Heathrow,C,,,,,,
2016022,23/02/2016,2016,A320,Drone,5141N,00024W,6000,London Heathrow,B,,,,,,
2016026,06/03/2016,2016,B738,Drone,5554N,00422W,1200,Glasgow Airport,A,,,,,,
2016028,05/03/2016,2016,B757,Drone,5322N,00212W,1500,Manchester Airport,A,,,,,,
2016031,13/03/2016,2016,A320,Drone,5135N,00015W,5500,London Heathrow,C,,,,,,
2016033,04/03/2016,2016,A319,Drone,5113N,00009W,5000,London Gatwick,B,,,,,,
2016037,20/03/2016,2016,DHC8,Drone,5052N,00013W,9300,Shoreham,B,,,,,,
2016038,23/03/2016,2016,Civil Helicopter,Drone,5339N,00234W,900,Wigan,C,,,,,,
2016042,30/03/2016,2016,A320,Drone,5130N,00037W,4800,London Heathrow,A,,,,,,
2016046,05/04/2016,2016,Europa,Model Aircraft,5138N,00121W,200,East Hanney,B,,,,,,
2016049,28/03/2016,2016,A321,Drone,5129N,00018W,1800,London Heathrow,A,,,,,,
2016050,13/04/2016,2016,A320,Drone,5128N,00016W,2000,London Heathrow,A,,,,,,
2016054,17/04/2016,2016,DR400,Drone,5109N,00039W,1800,Headcorn,B,,,,,,
